Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
0.30000000000000043,-0.0096716702200363019,-24.956245896490099,82.246847085171609
0.73884310779857232,-0.0097768281746025698,-17.230827441620626,72.912137435861084
1.8196304598048398,-0.011212567571003088,-10.851954817735043,54.239705816193421
4.4814047465571658,-0.011039045609973904,-6.6989388433776664,32.652414850292928
11.036850034165221,-0.013905789939614966,-4.4915091030103058,16.816971482918468
27.181668598498,-0.013503238958529323,-3.5451216430034664,7.6916580036066478
66.94329500821695,-0.012661238103618782,-3.237148395448922,3.2714077486920345
164.86864043382536,-0.013420781413298452,-3.1656274209393915,1.3276127305232706
406.04019558884227,-0.013278544264609095,-3.1508553485030459,0.49704936297454339
1000,-0.013497276222064546,-3.1460189181861047,0.091042964425298578
